"","Year","Index","Error","Lower","Upper","nominal","CV"
"1",1963,1.17290605544424,0.157610714932093,0.863989054177342,1.48182305671115,1.41725477036309,0.134376247953121
"2",1964,0.941492607145393,0.0920685680643598,0.761038213739247,1.12194700055154,0.926355265365083,0.0977900063851928
"3",1965,1.07782726103185,0.0995425323882332,0.882723897550909,1.27293062451278,0.440317699231986,0.0923548104479536
"4",1966,1.09676184673105,0.103909221315608,0.893099772952461,1.30042392050964,0.720423916663944,0.0947418271572028
"5",1967,1.09586905984263,0.112416955761338,0.875531826550407,1.31620629313485,0.750359962457797,0.102582470735583
"6",1968,1.18484724852781,0.116857850777964,0.955805861002999,1.41388863605262,0.451693272933934,0.0986269334913525
"7",1969,1.27119753755759,0.127963847093112,1.02038839725509,1.52200667786009,0.490123206096739,0.100664014295508
"8",1970,1.25449859288077,0.107176155130732,1.04443332882453,1.464563856937,0.424170191223455,0.0854334598212808
"9",1971,1.725115672204,0.152685026760068,1.42585301975427,2.02437832465374,0.0960248277377912,0.0885071240266448
"10",1972,1.96857840019046,0.186920119999392,1.60221496499165,2.33494183538927,0.135102954822905,0.0949518291886711
"11",1973,1.97598097355396,0.196760658675786,1.59033008254942,2.3616318645585,0.218081728191048,0.099576190919438
"12",1974,1.67654890728095,0.154282141706015,1.37415590953716,1.97894190502474,0.10684629199018,0.0920236451415137
"13",1975,1.11673487368272,0.107317832267173,0.906391922439062,1.32707782492638,0.0605000845189751,0.0960996515791297
"14",1976,0.910874059088796,0.0962182339893138,0.722286320469741,1.09946179770785,0.0382898859182226,0.105632862226384
"15",1977,1.1859567479816,0.140526361442776,0.910525079553761,1.46138841640944,0.0500761922323881,0.118491978465437
"16",1978,1.46815670955703,0.174440404825126,1.12625351609978,1.81005990301427,0.0780330193373732,0.118815929995483
"17",1979,1.1840492502297,0.147975187729375,0.894017882280122,1.47408061817927,0.264405421290737,0.124973845218575
"18",1980,1.13762752698306,0.13332749146781,0.876305643706157,1.39894941025997,0.424237320166545,0.117197842268627
"19",1981,1.03712907842659,0.106449948298064,0.828487179762386,1.2457709770908,0.170792654612842,0.10263905478338
"20",1982,1.08655483400973,0.11330983826514,0.864467551010053,1.3086421170094,0.138394272837054,0.104283589487142
"21",1983,0.786737049510611,0.0824342389862665,0.625165941097528,0.948308157923693,0.115191988914601,0.104779912217868
"22",1984,0.757269138715671,0.0848386809320589,0.590985324088835,0.923552953342506,0.0839594393155531,0.112032402477071
"23",1985,0.993566178831807,0.111055375719731,0.775897642421134,1.21123471524248,0.10561092075796,0.111774512947195
"24",1986,0.989279909293374,0.108514676711471,0.776591142938891,1.20196867564786,0.64765191682028,0.109690569566889
"25",1987,1.2202550052148,0.148692019482865,0.928818647028387,1.51169136340122,1.74701385525494,0.121853234649663
"26",1988,1.38238043998522,0.142321709679097,1.10342988901419,1.66133099095625,1.90548611158547,0.102954082365791
"27",1989,1.23238178784807,0.114855800518484,1.00726441883184,1.45749915686429,1.8527032358069,0.0931982293563754
"28",1990,1.04778867260637,0.0889666568384137,0.873414025203075,1.22216332000966,1.78339070612926,0.084908969875681
"29",1991,1.08270133974854,0.0890881305876397,0.908088603796771,1.25731407570032,1.3707004714531,0.0822831997310821
"30",1992,0.948928399658124,0.077549815948501,0.796930760399062,1.10092603891719,1.2720426578905,0.0817235694246692
"31",1993,0.880759553662857,0.0755985051007251,0.732586483665436,1.02893262366028,1.22376878497117,0.0858333069296041
"32",1994,0.839124734545794,0.0794761999683303,0.683351382607866,0.994898086483721,1.05816355226199,0.0947132132999865
"33",1995,0.742003016466192,0.0646740323339519,0.615241913091646,0.868764119840738,0.944517684976738,0.0871614143052458
"34",1996,0.686405853436349,0.0715012065104394,0.546263488675888,0.826548218196811,0.820197435955239,0.104167536090322
"35",1997,0.735973057010838,0.0934165825525675,0.552876555207806,0.91906955881387,0.876175495446031,0.126929351098775
"36",1998,0.687522281657419,0.074097779716861,0.542290633412372,0.832753929902467,0.853428080940568,0.107775095722327
"37",1999,0.713809983384816,0.0810204931518708,0.555009816807149,0.872610149962482,0.832368664160446,0.113504286907952
"38",2000,0.846183112522817,0.0896272202854416,0.670513760763351,1.02185246428228,1.50438523948633,0.105919415028535
"39",2001,0.947463301398145,0.104934406776832,0.741791864115555,1.15313473868074,1.56126111117569,0.110753003965413
"40",2002,0.941519107476367,0.101137596969609,0.743289417415934,1.1397487975368,1.55291544305919,0.107419590496359
"41",2003,0.941652512985949,0.099514802352065,0.746603500375901,1.136701525596,1.92837387308196,0.105681024560224
"42",2004,0.698135169245875,0.0653503735279322,0.570048437131128,0.826221901360622,1.34624463579501,0.0936070497616151
"43",2005,0.656279365611813,0.0541435070255356,0.550158091841763,0.762400639381863,1.37124611734989,0.0825006999497243
"44",2006,0.754638460935038,0.0687697972825745,0.619849658261192,0.889427263608883,1.45324658720401,0.0911294624413458
"45",2007,0.887586124898985,0.075917504780568,0.738787815529072,1.0363844342689,1.66872871274744,0.0855325501952929
"46",2008,0.771802452432608,0.0625535358994562,0.649197522069674,0.894407382795543,1.76550010237488,0.0810486358294103
"47",2009,0.812668870726705,0.0719939394151154,0.671560749473079,0.953776991980332,1.68184442011365,0.0885895129103899
"48",2010,0.706670317899278,0.0622260598471697,0.584707240598825,0.82863339519973,1.38541109745773,0.0880552900992778
"49",2011,0.849310703103283,0.0764608567953055,0.699447423784484,0.999173982422082,1.80270070815091,0.0900269554073985
"50",2012,0.889043762474304,0.0751141935406561,0.741819943134618,1.03626758181399,1.85201469243667,0.084488747023662
