OM,Year,Biomass
MOM_003,1993,0.643661166
MOM_003,1994,0.606861188
MOM_003,1995,0.574471914
MOM_003,1996,0.535525826
MOM_003,1997,0.505690612
MOM_003,1998,0.488765034
MOM_003,1999,0.478012002
MOM_003,2000,0.47217989
MOM_003,2001,0.465825014
MOM_003,2002,0.464898449
MOM_003,2003,0.466191436
MOM_003,2004,0.459782977
MOM_003,2005,0.451868868
MOM_003,2006,0.446597283
MOM_003,2007,0.450795387
MOM_003,2008,0.455916201
MOM_003,2009,0.463069676
MOM_003,2010,0.462682944
MOM_003,2011,0.46609806
MOM_003,2012,0.467477431
MOM_003,2013,0.459957914
MOM_003,2014,0.456322142
MOM_003,2015,0.455163773
MOM_003,2016,0.449640323
MOM_003,2017,0.444976947
MOM_003,2018,0.448802586
MOM_003,2019,0.46129357
MOM_003,2020,0.46339776
MOM_004,1950,1.671919842
MOM_004,1951,1.654809463
MOM_004,1952,1.643870988
MOM_004,1953,1.632056154
MOM_004,1954,1.619710396
MOM_004,1955,1.610651857
MOM_004,1956,1.600482551
MOM_004,1957,1.592380008
MOM_004,1958,1.579332294
MOM_004,1959,1.566291373
MOM_004,1960,1.548321121
MOM_004,1961,1.542618973
MOM_004,1962,1.534033994
MOM_004,1963,1.520839699
MOM_004,1964,1.486437871
MOM_004,1965,1.448218869
MOM_004,1966,1.424639363
MOM_004,1967,1.398744751
MOM_004,1968,1.37595671
MOM_004,1969,1.354154737
MOM_004,1970,1.333726766
MOM_004,1971,1.313426986
MOM_004,1972,1.314320658
MOM_004,1973,1.318077803
MOM_004,1974,1.314945052
MOM_004,1975,1.310788171
MOM_004,1976,1.294430245
MOM_004,1977,1.289592282
MOM_004,1978,1.286464938
MOM_004,1979,1.257168923
MOM_004,1980,1.21642588
MOM_004,1981,1.151986485
MOM_004,1982,1.095228465
MOM_004,1983,1.026388146
MOM_004,1984,0.960740282
MOM_004,1985,0.916512503
MOM_004,1986,0.871391744
MOM_004,1987,0.812428968
MOM_004,1988,0.757741585
MOM_004,1989,0.718268715
MOM_004,1990,0.68587029
MOM_004,1991,0.655092621
MOM_004,1992,0.632624418
MOM_004,1993,0.612371702
MOM_004,1994,0.582031676
MOM_004,1995,0.555088973
MOM_004,1996,0.516619066
MOM_004,1997,0.494215162
MOM_004,1998,0.493274502
MOM_004,1999,0.501023466
MOM_004,2000,0.513645135
MOM_004,2001,0.521084544
MOM_004,2002,0.533127958
MOM_004,2003,0.543837637
MOM_004,2004,0.539088153
MOM_004,2005,0.532098586
MOM_004,2006,0.532180436
MOM_004,2007,0.551326721
MOM_004,2008,0.57255231
MOM_004,2009,0.591421514
MOM_004,2010,0.592653531
MOM_004,2011,0.601915004
MOM_004,2012,0.608437035
MOM_004,2013,0.597344616
MOM_004,2014,0.590974979
MOM_004,2015,0.586166328
MOM_004,2016,0.571762896
MOM_004,2017,0.560977026
MOM_004,2018,0.571032748
MOM_004,2019,0.595742583
MOM_004,2020,0.598892773
MOM_005,1950,1.732410003
MOM_005,1951,1.712115777
MOM_005,1952,1.699220843
MOM_005,1953,1.685354988
MOM_005,1954,1.670937723
