"Run","PGK_short","PGK_med","PBMSY","PNOF","AvCatch","VarC","Dropped"
"Base",0.605277777777778,0.768611111111111,0.899953703703704,0.787037037037037,10856.9376159859,0.117885466920493,NA
"Dropped 1 Flag",0.604444444444444,0.743194444444444,0.893981481481481,0.773287037037037,10838.6188078084,0.142402430145462,"Canada"
"Dropped 1 Flag",0.603888888888889,0.727222222222222,0.887222222222222,0.769351851851852,10809.2549471488,0.132808757325644,"Chinese Taipei"
"Dropped 1 Flag",0.601805555555556,0.718333333333333,0.878287037037037,0.758657407407407,10819.1799831285,0.146838131318852,"EU.Portugal"
"Dropped 1 Flag",0.600555555555556,0.732083333333333,0.885972222222222,0.770972222222222,10807.9656627556,0.148235197071169,"EU.Spain"
"Dropped 1 Flag",0.595972222222222,0.697083333333333,0.87337962962963,0.752361111111111,10814.9257973358,0.145676130728028,"Japan"
"Dropped 1 Flag",0.604583333333333,0.724444444444444,0.884074074074074,0.765324074074074,10804.0694708499,0.142309020884988,"Maroc"
"Dropped 1 Flag",0.600555555555556,0.719583333333333,0.886805555555556,0.769537037037037,10813.0915673434,0.137522507523423,"USA"
"Dropped 2 Flags",0.599166666666667,0.702083333333333,0.877592592592593,0.754351851851852,10815.5988034945,0.145389736124647,"Canada"
"Dropped 2 Flags",0.594861111111111,0.701666666666667,0.874722222222222,0.749074074074074,10814.381377531,0.148230673834033,"Chinese Taipei"
"Dropped 2 Flags",0.599444444444444,0.696527777777778,0.875185185185185,0.752175925925926,10799.6426680196,0.14658688356358,"EU.Portugal"
"Dropped 2 Flags",0.596666666666667,0.71,0.880925925925926,0.756527777777778,10805.0465573896,0.147187573813105,"EU.Spain"
"Dropped 2 Flags",0.596944444444444,0.703611111111111,0.873425925925926,0.751435185185185,10797.2419515233,0.147111201978046,"Maroc"
"Dropped 2 Flags",0.601111111111111,0.703472222222222,0.880185185185185,0.751388888888889,10820.5842464507,0.145049327694233,"USA"
