"","OM","M","sigmaR","h","CPUE CV","Len. Comp. Eff. Samp. Size","Q increase","Env. Covariate","Total","Survey","Mean_body_wt","Length_comp","Recruitment"
"50","49","0.1","0.2","0.9","0.3","20","1","FALSE",499.319,-169.765,124.767,573.066,-28.7544
"51","50","0.2","0.2","0.9","0.3","20","1","FALSE",386.015,-175.504,122.558,477.574,-38.6175
"52","51","0.3","0.2","0.9","0.3","20","1","FALSE",396.454,-171.132,122.645,484.798,-39.8699
"53","52","0.1","0.6","0.9","0.3","20","1","FALSE",525.082,-168.645,123.924,565.541,4.25691
"54","53","0.2","0.6","0.9","0.3","20","1","FALSE",410.832,-177.435,122.458,478.724,-12.9209
"55","54","0.3","0.6","0.9","0.3","20","1","FALSE",415.029,-175.336,123,480.493,-13.1362
"56","55","0.1","0.2","0.6","0.6","20","1","FALSE",627.511,-102.261,133.371,618.181,-21.7866
"57","56","0.2","0.2","0.6","0.6","20","1","FALSE",466.008,-103.819,122.58,482.324,-35.0825
"58","57","0.3","0.2","0.6","0.6","20","1","FALSE",457.091,-104.435,122.985,477.187,-38.6572
"59","58","0.1","0.6","0.6","0.6","20","1","FALSE",637.563,-99.1158,129.48,597.724,9.46813
"60","59","0.2","0.6","0.6","0.6","20","1","FALSE",486.575,-103.614,122.487,477.492,-9.79508
"61","60","0.3","0.6","0.6","0.6","20","1","FALSE",476.845,-104.41,122.843,470.596,-12.1949
"62","61","0.1","0.2","0.75","0.6","20","1","FALSE",588.641,-100.816,128.246,588.145,-26.9406
"63","62","0.2","0.2","0.75","0.6","20","1","FALSE",455.087,-104.05,122.635,474.732,-38.2344
"64","63","0.3","0.2","0.75","0.6","20","1","FALSE",456.215,-104.375,122.894,477.853,-40.1695
"65","64","0.1","0.6","0.75","0.6","20","1","FALSE",606.366,-98.3725,126.106,573.022,5.60487
"66","65","0.2","0.6","0.75","0.6","20","1","FALSE",479.029,-103.408,122.509,471.365,-11.4426
"67","66","0.3","0.6","0.75","0.6","20","1","FALSE",477.089,-104.086,122.818,471.064,-12.7192
"68","67","0.1","0.2","0.9","0.6","20","1","FALSE",555.274,-99.8189,124.696,561.653,-31.2607
"69","68","0.2","0.2","0.9","0.6","20","1","FALSE",449.349,-104.367,122.679,471.333,-40.3008
"70","69","0.3","0.2","0.9","0.6","20","1","FALSE",457.277,-104.205,122.661,479.445,-40.6349
"71","70","0.1","0.6","0.9","0.6","20","1","FALSE",578.802,-97.5803,123.697,550.633,2.04701
"72","71","0.2","0.6","0.9","0.6","20","1","FALSE",474.602,-103.389,122.532,467.885,-12.4312
"73","72","0.3","0.6","0.9","0.6","20","1","FALSE",477.841,-103.762,122.793,471.688,-12.8899
"74","73","0.1","0.2","0.6","0.3","2","1.01","FALSE",-29.743,-188.744,123.411,71.3552,-35.7714
"75","74","0.2","0.2","0.6","0.3","2","1.01","FALSE",-50.5328,-186.852,121.433,52.1587,-37.2761
"76","75","0.3","0.2","0.6","0.3","2","1.01","FALSE",-49.3837,-184.786,121.89,51.8253,-38.3239
"77","76","0.1","0.6","0.6","0.3","2","1.01","FALSE",-7.42925,-192.568,123.436,72.9871,-11.2913
"78","77","0.2","0.6","0.6","0.3","2","1.01","FALSE",-30.8079,-193.577,121.804,53.1001,-12.1388
"79","78","0.3","0.6","0.6","0.3","2","1.01","FALSE",-30.6369,-191.073,122.206,50.726,-12.5066
"80","79","0.1","0.2","0.75","0.3","2","1.01","FALSE",-37.9257,-190.458,122.396,67.8232,-37.6922
"81","80","0.2","0.2","0.75","0.3","2","1.01","FALSE",-55.3242,-191.476,122.005,52.6512,-38.5118
"82","81","0.3","0.2","0.75","0.3","2","1.01","FALSE",-53.3405,-185.914,122.03,50.4906,-39.9598
"83","82","0.1","0.6","0.75","0.3","2","1.01","FALSE",-13.0282,-193.474,122.638,69.8447,-12.0417
"84","83","0.2","0.6","0.75","0.3","2","1.01","FALSE",-33.1525,-196.017,122.279,53.3007,-12.722
"85","84","0.3","0.6","0.75","0.3","2","1.01","FALSE",-30.9987,-190.285,122.232,50.2448,-13.2014
"86","85","0.1","0.2","0.9","0.3","2","1.01","FALSE",-44.1778,-191.503,121.891,64.2212,-38.7914
"87","86","0.2","0.2","0.9","0.3","2","1.01","FALSE",-59.4569,-194.439,122.692,52.0371,-39.7556
"88","87","0.3","0.2","0.9","0.3","2","1.01","FALSE",-51.94,-184.249,121.761,51.077,-40.5447
"89","88","0.1","0.6","0.9","0.3","2","1.01","FALSE",-17.6344,-193.712,122.115,66.3339,-12.3764
"90","89","0.2","0.6","0.9","0.3","2","1.01","FALSE",-34.7537,-196.932,122.601,52.7972,-13.2284
"91","90","0.3","0.6","0.9","0.3","2","1.01","FALSE",-29.9982,-188.834,121.999,50.3012,-13.4776
"92","91","0.1","0.2","0.6","0.6","2","1.01","FALSE",44.472,-108.477,123.635,71.2978,-41.9884
"93","92","0.2","0.2","0.6","0.6","2","1.01","FALSE",20.7679,-107.005,120.756,50.7098,-43.6962
"94","93","0.3","0.2","0.6","0.6","2","1.01","FALSE",20.5892,-106.437,121.037,50.0858,-44.1022
"95","94","0.1","0.6","0.6","0.6","2","1.01","FALSE",71.4064,-110.881,123.097,70.5438,-11.3576
"96","95","0.2","0.6","0.6","0.6","2","1.01","FALSE",47.341,-110.56,120.604,50.232,-12.9393
"97","96","0.3","0.6","0.6","0.6","2","1.01","FALSE",47.2537,-109.801,120.84,49.4442,-13.2353
"98","97","0.1","0.2","0.75","0.6","2","1.01","FALSE",37.2153,-108.567,122.575,65.9007,-42.698
"99","98","0.2","0.2","0.75","0.6","2","1.01","FALSE",18.48,-107.72,120.826,49.612,-44.2419
"100","99","0.3","0.2","0.75","0.6","2","1.01","FALSE",19.6274,-107.038,120.945,50.2297,-44.5194
"101","100","0.1","0.6","0.75","0.6","2","1.01","FALSE",65.6903,-110.473,122.233,65.8337,-11.9068
"102","101","0.2","0.6","0.75","0.6","2","1.01","FALSE",46.0852,-110.571,120.662,49.395,-13.4042
"103","102","0.3","0.6","0.75","0.6","2","1.01","FALSE",47.0096,-109.767,120.747,49.6463,-13.6258
"104","103","0.1","0.2","0.9","0.6","2","1.01","FALSE",31.1918,-108.314,121.689,61.2358,-43.4236
"105","104","0.2","0.2","0.9","0.6","2","1.01","FALSE",17.5654,-108.089,120.908,49.1635,-44.4201
"106","105","0.3","0.2","0.9","0.6","2","1.01","FALSE",20.092,-106.69,120.676,50.5651,-44.4711
"107","106","0.1","0.6","0.9","0.6","2","1.01","FALSE",60.8036,-110.125,121.488,61.826,-12.389
"108","107","0.2","0.6","0.9","0.6","2","1.01","FALSE",45.4644,-110.561,120.706,48.9587,-13.643
"109","108","0.3","0.6","0.9","0.6","2","1.01","FALSE",47.2458,-109.543,120.697,49.8688,-13.7873
"110","109","0.1","0.2","0.6","0.3","20","1.01","FALSE",555.052,-179.044,133.259,624.099,-23.2681
"111","110","0.2","0.2","0.6","0.3","20","1.01","FALSE",392.976,-180.79,122.655,484.521,-33.4148
"112","111","0.3","0.2","0.6","0.3","20","1.01","FALSE",392.185,-176.746,123.523,482.147,-36.7464
"113","112","0.1","0.6","0.6","0.3","20","1.01","FALSE",573.758,-175.528,130.401,609.528,9.35047
"114","113","0.2","0.6","0.6","0.3","20","1.01","FALSE",414.354,-182.41,122.597,485.126,-10.9651
"115","114","0.3","0.6","0.6","0.3","20","1.01","FALSE",409.94,-179.697,123.411,478.908,-12.6933
"116","115","0.1","0.2","0.75","0.3","20","1.01","FALSE",516.129,-178.435,128.237,594.115,-27.7948
"117","116","0.2","0.2","0.75","0.3","20","1.01","FALSE",382.356,-181.197,122.888,477.821,-37.1613
"118","117","0.3","0.2","0.75","0.3","20","1.01","FALSE",392.489,-175.626,122.939,484.633,-39.4716
