"","OM","M","sigmaR","h","CPUE CV","Len. Comp. Eff. Samp. Size","Q increase","Env. Covariate","MSY","SB, sub('MSY')","F<sub>MSY</sub>","F/F<sub>MSY</sub>","SB/SB<sub>MSY</sub>","SBM<sub>MSY</sub>/SB<sub>0</sub>","Depletion"
"262","261","0.3","0.2","0.75","0.3","20","1.01","TRUE",12470.7,15933.2,0.16,0.93,0.98,0.23,0.23
"263","262","0.1","0.6","0.75","0.3","20","1.01","TRUE",9807.57,87176.4,0.06,2.47,0.49,0.28,0.14
"264","263","0.2","0.6","0.75","0.3","20","1.01","TRUE",12806.3,36441.7,0.12,1.34,0.68,0.25,0.17
"265","264","0.3","0.6","0.75","0.3","20","1.01","TRUE",14411,18468.7,0.16,0.89,0.93,0.23,0.21
"266","265","0.1","0.2","0.9","0.3","20","1.01","TRUE",10876.9,59661.1,0.09,1.79,0.56,0.22,0.12
"267","266","0.2","0.2","0.9","0.3","20","1.01","TRUE",12325.3,19132.7,0.18,0.97,0.96,0.17,0.17
"268","267","0.3","0.2","0.9","0.3","20","1.01","TRUE",13897.6,8879.92,0.24,0.61,1.77,0.15,0.26
"269","268","0.1","0.6","0.9","0.3","20","1.01","TRUE",10557.3,58410.9,0.09,2.11,0.53,0.22,0.12
"270","269","0.2","0.6","0.9","0.3","20","1.01","TRUE",13607.3,21292.5,0.18,0.98,0.94,0.17,0.16
"271","270","0.3","0.6","0.9","0.3","20","1.01","TRUE",16176.5,10331.4,0.24,0.57,1.58,0.15,0.23
"272","271","0.1","0.2","0.6","0.6","20","1.01","TRUE",9149.96,123892,0.04,2.61,0.49,0.34,0.17
"273","272","0.2","0.2","0.6","0.6","20","1.01","TRUE",10906.4,49867.2,0.08,1.68,0.59,0.31,0.18
"274","273","0.3","0.2","0.6","0.6","20","1.01","TRUE",11886.3,25796.3,0.11,1.06,0.9,0.29,0.26
"275","274","0.1","0.6","0.6","0.6","20","1.01","TRUE",8837.25,119139,0.04,3.08,0.44,0.34,0.15
"276","275","0.2","0.6","0.6","0.6","20","1.01","TRUE",11925.2,54779.7,0.08,1.82,0.54,0.31,0.17
"277","276","0.3","0.6","0.6","0.6","20","1.01","TRUE",13680.4,29775.3,0.11,1.06,0.83,0.29,0.24
"278","277","0.1","0.2","0.75","0.6","20","1.01","TRUE",10077.4,88857.5,0.06,2.51,0.45,0.28,0.13
"279","278","0.2","0.2","0.75","0.6","20","1.01","TRUE",11718.8,33143.9,0.12,1.3,0.7,0.25,0.18
"280","279","0.3","0.2","0.75","0.6","20","1.01","TRUE",12902.1,16573.5,0.16,0.76,1.28,0.23,0.29
"281","280","0.1","0.6","0.75","0.6","20","1.01","TRUE",9747.09,86234.2,0.06,2.98,0.41,0.28,0.12
"282","281","0.2","0.6","0.75","0.6","20","1.01","TRUE",12712.8,36180.3,0.12,1.43,0.64,0.25,0.16
"283","282","0.3","0.6","0.75","0.6","20","1.01","TRUE",14663.8,18880.6,0.16,0.79,1.12,0.23,0.26
"284","283","0.1","0.2","0.9","0.6","20","1.01","TRUE",10843.5,58945.7,0.09,2.18,0.45,0.22,0.1
"285","284","0.2","0.2","0.9","0.6","20","1.01","TRUE",12491.7,19473.7,0.18,0.88,1.08,0.17,0.19
"286","285","0.3","0.2","0.9","0.6","20","1.01","TRUE",15197,9798.74,0.24,0.45,2.57,0.15,0.38
"287","286","0.1","0.6","0.9","0.6","20","1.01","TRUE",10471,57558.2,0.09,2.72,0.42,0.22,0.09
"288","287","0.2","0.6","0.9","0.6","20","1.01","TRUE",13536.4,21224.4,0.18,1,0.95,0.17,0.16
"289","288","0.3","0.6","0.9","0.6","20","1.01","TRUE",16797.7,10812.9,0.24,0.5,2.02,0.15,0.3
