"","OM","M","sigmaR","h","CPUE CV","Len. Comp. Eff. Samp. Size","Q increase","Env. Covariate","MSY","SB, sub('MSY')","F<sub>MSY</sub>","F/F<sub>MSY</sub>","SB/SB<sub>MSY</sub>","SBM<sub>MSY</sub>/SB<sub>0</sub>","Depletion"
"136","135","0.3","0.2","0.75","0.6","20","1.01","FALSE",13248.9,17063.4,0.16,0.67,1.48,0.23,0.34
"137","136","0.1","0.6","0.75","0.6","20","1.01","FALSE",9809.66,86964.8,0.06,2.64,0.46,0.28,0.13
"138","137","0.2","0.6","0.75","0.6","20","1.01","FALSE",12933.2,36937,0.12,1.18,0.78,0.25,0.2
"139","138","0.3","0.6","0.75","0.6","20","1.01","FALSE",15436.1,19947.9,0.16,0.63,1.4,0.23,0.32
"140","139","0.1","0.2","0.9","0.6","20","1.01","FALSE",10891.7,59477.5,0.09,1.93,0.51,0.22,0.11
"141","140","0.2","0.2","0.9","0.6","20","1.01","FALSE",12670.3,19827,0.18,0.78,1.25,0.17,0.22
"142","141","0.3","0.2","0.9","0.6","20","1.01","FALSE",15448.7,9970.96,0.24,0.42,2.73,0.15,0.4
"143","142","0.1","0.6","0.9","0.6","20","1.01","FALSE",10524,58011.3,0.09,2.38,0.47,0.22,0.1
"144","143","0.2","0.6","0.9","0.6","20","1.01","FALSE",13813.1,21741.2,0.18,0.84,1.14,0.17,0.2
"145","144","0.3","0.6","0.9","0.6","20","1.01","FALSE",17545,11325.6,0.24,0.42,2.37,0.15,0.35
"146","145","0.1","0.2","0.6","0.3","2","1","TRUE",10109.6,141642,0.04,1.21,0.92,0.34,0.31
"147","146","0.2","0.2","0.6","0.3","2","1","TRUE",11676.9,54015,0.08,0.93,1.05,0.31,0.33
"148","147","0.3","0.2","0.6","0.3","2","1","TRUE",12342,26792.4,0.11,0.84,1.13,0.29,0.33
"149","148","0.1","0.6","0.6","0.3","2","1","TRUE",10764.6,149676,0.04,1.26,0.85,0.34,0.29
"150","149","0.2","0.6","0.6","0.3","2","1","TRUE",13268.4,61220.7,0.08,0.9,0.97,0.31,0.3
"151","150","0.3","0.6","0.6","0.3","2","1","TRUE",14424.2,31324.5,0.11,0.79,1.07,0.29,0.31
"152","151","0.1","0.2","0.75","0.3","2","1","TRUE",10939.9,99891.8,0.06,1.08,0.95,0.28,0.27
"153","152","0.2","0.2","0.75","0.3","2","1","TRUE",12271.2,34945.9,0.12,0.83,1.14,0.25,0.29
"154","153","0.3","0.2","0.75","0.3","2","1","TRUE",12940.4,16563.3,0.16,0.74,1.31,0.23,0.3
"155","154","0.1","0.6","0.75","0.3","2","1","TRUE",11637.6,106025,0.06,1.1,0.9,0.28,0.26
"156","155","0.2","0.6","0.75","0.3","2","1","TRUE",13765.1,39290.4,0.12,0.8,1.09,0.25,0.27
"157","156","0.3","0.6","0.75","0.3","2","1","TRUE",15062,19342.2,0.16,0.68,1.28,0.23,0.29
"158","157","0.1","0.2","0.9","0.3","2","1","TRUE",11667.2,65620.3,0.09,0.9,1.08,0.22,0.23
"159","158","0.2","0.2","0.9","0.3","2","1","TRUE",12837.4,20210.3,0.18,0.69,1.44,0.18,0.25
"160","159","0.3","0.2","0.9","0.3","2","1","TRUE",13891.4,8993.27,0.23,0.57,1.92,0.15,0.29
"161","160","0.1","0.6","0.9","0.3","2","1","TRUE",12424.4,70340.6,0.09,0.9,1.06,0.22,0.23
"162","161","0.2","0.6","0.9","0.3","2","1","TRUE",14406.4,22839.3,0.18,0.66,1.42,0.18,0.25
"163","162","0.3","0.6","0.9","0.3","2","1","TRUE",16108.7,10444.6,0.23,0.53,1.87,0.15,0.28
"164","163","0.1","0.2","0.6","0.6","2","1","TRUE",9963.28,140950,0.04,1.35,0.85,0.34,0.29
"165","164","0.2","0.2","0.6","0.6","2","1","TRUE",11862.6,55429.8,0.08,0.89,1.08,0.31,0.34
"166","165","0.3","0.2","0.6","0.6","2","1","TRUE",12769.8,27897.7,0.11,0.74,1.26,0.29,0.37
"167","166","0.1","0.6","0.6","0.6","2","1","TRUE",10610.8,147876,0.04,1.45,0.75,0.34,0.25
"168","167","0.2","0.6","0.6","0.6","2","1","TRUE",13448.1,62761.8,0.08,0.88,0.98,0.31,0.31
"169","168","0.3","0.6","0.6","0.6","2","1","TRUE",14874.2,32515.2,0.11,0.72,1.16,0.29,0.34
"170","169","0.1","0.2","0.75","0.6","2","1","TRUE",10800.4,98892.3,0.06,1.27,0.82,0.28,0.23
"171","170","0.2","0.2","0.75","0.6","2","1","TRUE",12536.4,36179.7,0.12,0.78,1.19,0.25,0.3
"172","171","0.3","0.2","0.75","0.6","2","1","TRUE",13442.8,17320.1,0.16,0.64,1.5,0.23,0.34
"173","172","0.1","0.6","0.75","0.6","2","1","TRUE",11464.7,103989,0.06,1.34,0.74,0.28,0.21
"174","173","0.2","0.6","0.75","0.6","2","1","TRUE",14104.3,40781.8,0.12,0.76,1.12,0.25,0.28
"175","174","0.3","0.6","0.75","0.6","2","1","TRUE",15591.9,20140,0.16,0.61,1.42,0.23,0.32
"176","175","0.1","0.2","0.9","0.6","2","1","TRUE",11558.8,64865.2,0.09,1.09,0.89,0.22,0.19
"177","176","0.2","0.2","0.9","0.6","2","1","TRUE",13310.5,21029,0.18,0.61,1.6,0.17,0.28
"178","177","0.3","0.2","0.9","0.6","2","1","TRUE",14566.1,9350.51,0.24,0.49,2.27,0.15,0.34
"179","178","0.1","0.6","0.9","0.6","2","1","TRUE",12170.2,68460.4,0.09,1.15,0.82,0.22,0.18
"180","179","0.2","0.6","0.9","0.6","2","1","TRUE",14916.8,23688,0.18,0.6,1.51,0.17,0.26
"181","180","0.3","0.6","0.9","0.6","2","1","TRUE",16839.6,10833.5,0.24,0.47,2.13,0.15,0.31
"182","181","0.1","0.2","0.6","0.3","20","1","TRUE",9478.58,130228,0.04,1.71,0.7,0.34,0.24
"183","182","0.2","0.2","0.6","0.3","20","1","TRUE",11315.5,52130.5,0.08,1.11,0.89,0.31,0.28
"184","183","0.3","0.2","0.6","0.3","20","1","TRUE",12358.1,26900.5,0.11,0.83,1.17,0.29,0.34
"185","184","0.1","0.6","0.6","0.3","20","1","TRUE",9058.52,123632,0.04,2.03,0.63,0.34,0.21
"186","185","0.2","0.6","0.6","0.3","20","1","TRUE",12334.8,57095.1,0.08,1.16,0.83,0.31,0.26
"187","186","0.3","0.6","0.6","0.3","20","1","TRUE",14580,31843.6,0.11,0.76,1.13,0.29,0.33
"188","187","0.1","0.2","0.75","0.3","20","1","TRUE",10334.9,92852.3,0.06,1.57,0.69,0.28,0.2
"189","188","0.2","0.2","0.75","0.3","20","1","TRUE",12021.3,34288.9,0.12,0.94,1.01,0.25,0.25
"190","189","0.3","0.2","0.75","0.3","20","1","TRUE",13158.1,16928.4,0.16,0.68,1.45,0.23,0.33
"191","190","0.1","0.6","0.75","0.3","20","1","TRUE",9946.75,89286.5,0.06,1.83,0.64,0.28,0.18
"192","191","0.2","0.6","0.75","0.3","20","1","TRUE",13148,37756.9,0.12,0.96,0.97,0.25,0.24
"193","192","0.3","0.6","0.75","0.3","20","1","TRUE",15503.6,20023.6,0.16,0.62,1.42,0.23,0.33
"194","193","0.1","0.2","0.9","0.3","20","1","TRUE",11042.2,61386.6,0.09,1.35,0.74,0.22,0.16
"195","194","0.2","0.2","0.9","0.3","20","1","TRUE",12756.4,20019.4,0.18,0.72,1.39,0.17,0.24
"196","195","0.3","0.2","0.9","0.3","20","1","TRUE",14958.4,9621.89,0.24,0.46,2.5,0.15,0.37
"197","196","0.1","0.6","0.9","0.3","20","1","TRUE",10665.4,59610.5,0.09,1.57,0.71,0.22,0.15
"198","197","0.2","0.6","0.9","0.3","20","1","TRUE",14055.4,22220.9,0.18,0.72,1.34,0.17,0.23
"199","198","0.3","0.6","0.9","0.3","20","1","TRUE",17321.7,11154.6,0.24,0.43,2.28,0.15,0.34
"200","199","0.1","0.2","0.6","0.6","20","1","TRUE",9284.39,126533,0.04,2.17,0.57,0.34,0.19
"201","200","0.2","0.2","0.6","0.6","20","1","TRUE",11131.7,51150.1,0.08,1.31,0.76,0.31,0.24
"202","201","0.3","0.2","0.6","0.6","20","1","TRUE",12469.2,27180,0.11,0.8,1.22,0.29,0.36
"203","202","0.1","0.6","0.6","0.6","20","1","TRUE",8971.66,121606,0.04,2.44,0.54,0.34,0.18
"204","203","0.2","0.6","0.6","0.6","20","1","TRUE",12173.7,56181.7,0.08,1.37,0.72,0.31,0.22
"205","204","0.3","0.6","0.6","0.6","20","1","TRUE",14599.5,31924.5,0.11,0.75,1.18,0.29,0.35
"206","205","0.1","0.2","0.75","0.6","20","1","TRUE",10180.4,90389.3,0.06,2.08,0.53,0.28,0.15
"207","206","0.2","0.2","0.75","0.6","20","1","TRUE",11939.5,33970.5,0.12,1.05,0.9,0.25,0.22
"208","207","0.3","0.2","0.75","0.6","20","1","TRUE",13482.9,17395.1,0.16,0.62,1.62,0.23,0.37
"209","208","0.1","0.6","0.75","0.6","20","1","TRUE",9852.56,87599.7,0.06,2.37,0.51,0.28,0.14
"210","209","0.2","0.6","0.75","0.6","20","1","TRUE",12980.9,37155,0.12,1.1,0.85,0.25,0.21
"211","210","0.3","0.6","0.75","0.6","20","1","TRUE",15800.7,20465.7,0.16,0.57,1.58,0.23,0.36
"212","211","0.1","0.2","0.9","0.6","20","1","TRUE",10927.2,59841.9,0.09,1.81,0.55,0.22,0.12
"213","212","0.2","0.2","0.9","0.6","20","1","TRUE",12769,20027.5,0.18,0.73,1.35,0.17,0.23
"214","213","0.3","0.2","0.9","0.6","20","1","TRUE",15715.6,10157.2,0.24,0.4,2.93,0.15,0.43
"215","214","0.1","0.6","0.9","0.6","20","1","TRUE",10554.6,58316.2,0.09,2.16,0.52,0.22,0.11
"216","215","0.2","0.6","0.9","0.6","20","1","TRUE",13881.1,21902.5,0.18,0.78,1.24,0.17,0.22
"217","216","0.3","0.6","0.9","0.6","20","1","TRUE",17876.1,11563.4,0.24,0.39,2.63,0.15,0.39
"218","217","0.1","0.2","0.6","0.3","2","1.01","TRUE",9546.72,131016,0.04,1.8,0.67,0.34,0.23
"219","218","0.2","0.2","0.6","0.3","2","1.01","TRUE",11071,50692.6,0.08,1.39,0.69,0.31,0.22
"220","219","0.3","0.2","0.6","0.3","2","1.01","TRUE",11702.5,25244.5,0.11,1.23,0.72,0.29,0.21
"221","220","0.1","0.6","0.6","0.3","2","1.01","TRUE",10197.7,138954,0.04,1.88,0.61,0.34,0.21
"222","221","0.2","0.6","0.6","0.3","2","1.01","TRUE",12543.7,57275.5,0.08,1.36,0.64,0.31,0.2
"223","222","0.3","0.6","0.6","0.3","2","1.01","TRUE",13541.8,29217.7,0.11,1.19,0.68,0.29,0.2
"224","223","0.1","0.2","0.75","0.3","2","1.01","TRUE",10453,93251.2,0.06,1.6,0.67,0.28,0.19
"225","224","0.2","0.2","0.75","0.3","2","1.01","TRUE",11737.2,32944.4,0.12,1.24,0.72,0.25,0.18
"226","225","0.3","0.2","0.75","0.3","2","1.01","TRUE",12277.1,15573,0.16,1.07,0.8,0.23,0.18
"227","226","0.1","0.6","0.75","0.3","2","1.01","TRUE",11138.7,99438.6,0.06,1.63,0.64,0.28,0.18
"228","227","0.2","0.6","0.75","0.3","2","1.01","TRUE",13092.8,36870.9,0.12,1.21,0.7,0.25,0.18
"229","228","0.3","0.6","0.75","0.3","2","1.01","TRUE",13990.4,17888.7,0.16,1.03,0.78,0.23,0.18
"230","229","0.1","0.2","0.9","0.3","2","1.01","TRUE",11198.7,61531.2,0.09,1.34,0.73,0.22,0.16
"231","230","0.2","0.2","0.9","0.3","2","1.01","TRUE",12235,18951.8,0.18,1.02,0.88,0.18,0.16
"232","231","0.3","0.2","0.9","0.3","2","1.01","TRUE",12965.1,8324.99,0.23,0.82,1.15,0.15,0.17
"233","232","0.1","0.6","0.9","0.3","2","1.01","TRUE",11938.9,66277.1,0.09,1.34,0.73,0.22,0.16
"234","233","0.2","0.6","0.9","0.3","2","1.01","TRUE",13606.7,21237.5,0.18,0.98,0.88,0.18,0.16
"235","234","0.3","0.6","0.9","0.3","2","1.01","TRUE",14888.4,9581.13,0.23,0.76,1.16,0.15,0.17
"236","235","0.1","0.2","0.6","0.6","2","1.01","TRUE",9538.81,132486,0.04,1.84,0.66,0.34,0.22
"237","236","0.2","0.2","0.6","0.6","2","1.01","TRUE",11195.3,51801.2,0.08,1.28,0.76,0.31,0.24
"238","237","0.3","0.2","0.6","0.6","2","1.01","TRUE",11920.2,25880.3,0.11,1.06,0.86,0.29,0.25
"239","238","0.1","0.6","0.6","0.6","2","1.01","TRUE",10201.4,139765,0.04,2.03,0.57,0.34,0.19
"240","239","0.2","0.6","0.6","0.6","2","1.01","TRUE",12696.2,58707.5,0.08,1.29,0.68,0.31,0.21
"241","240","0.3","0.6","0.6","0.6","2","1.01","TRUE",13777,29935.1,0.11,1.06,0.77,0.29,0.23
"242","241","0.1","0.2","0.75","0.6","2","1.01","TRUE",10475.6,94078.2,0.06,1.72,0.62,0.28,0.18
"243","242","0.2","0.2","0.75","0.6","2","1.01","TRUE",11950.5,34045.2,0.12,1.11,0.81,0.25,0.2
"244","243","0.3","0.2","0.75","0.6","2","1.01","TRUE",12580.9,16068.1,0.16,0.9,0.99,0.23,0.23
"245","244","0.1","0.6","0.75","0.6","2","1.01","TRUE",11145.3,99435,0.06,1.85,0.56,0.28,0.16
"246","245","0.2","0.6","0.75","0.6","2","1.01","TRUE",13384.6,38251.3,0.12,1.1,0.76,0.25,0.19
"247","246","0.3","0.6","0.75","0.6","2","1.01","TRUE",14373.7,18413.9,0.16,0.89,0.92,0.23,0.21
"248","247","0.1","0.2","0.9","0.6","2","1.01","TRUE",11276.7,62122.8,0.09,1.46,0.65,0.22,0.14
"249","248","0.2","0.2","0.9","0.6","2","1.01","TRUE",12624.9,19633.8,0.18,0.86,1.06,0.17,0.18
"250","249","0.3","0.2","0.9","0.6","2","1.01","TRUE",13640.8,8694.29,0.24,0.63,1.64,0.15,0.24
"251","250","0.1","0.6","0.9","0.6","2","1.01","TRUE",11918.3,65962.8,0.09,1.56,0.61,0.22,0.13
"252","251","0.2","0.6","0.9","0.6","2","1.01","TRUE",14074.7,22055.3,0.18,0.86,1,0.17,0.17
"253","252","0.3","0.6","0.9","0.6","2","1.01","TRUE",15376.7,9817.38,0.24,0.67,1.39,0.15,0.21
"254","253","0.1","0.2","0.6","0.3","20","1.01","TRUE",9230.9,125314,0.04,2.28,0.55,0.34,0.19
"255","254","0.2","0.2","0.6","0.3","20","1.01","TRUE",10975,50174.9,0.08,1.55,0.63,0.31,0.2
"256","255","0.3","0.2","0.6","0.3","20","1.01","TRUE",11722.2,25276.9,0.11,1.21,0.76,0.29,0.22
"257","256","0.1","0.6","0.6","0.3","20","1.01","TRUE",8880.73,119997,0.04,2.76,0.49,0.34,0.16
"258","257","0.2","0.6","0.6","0.3","20","1.01","TRUE",12025.5,55260.3,0.08,1.64,0.59,0.31,0.18
"259","258","0.3","0.6","0.6","0.3","20","1.01","TRUE",13655.1,29650.1,0.11,1.12,0.75,0.29,0.22
"260","259","0.1","0.2","0.75","0.3","20","1.01","TRUE",10141.7,89961,0.06,2.08,0.53,0.28,0.15
"261","260","0.2","0.2","0.75","0.3","20","1.01","TRUE",11692.3,33029,0.12,1.3,0.7,0.25,0.18
