"","OM","M","sigmaR","h","CPUE lambda","Increase in catchability","Environmental covariate","SSB0","SSB_MSY","R0","F_FMSY","MSY","Depletion","SB_SBMSY"
"51",51,"0.3","0.2","0.9","20","1","0",63656.4,1372.67,9391.41,0.58,14576.3,0.29,1.94
"52",52,"0.1","0.6","0.9","20","1","0",287073,465.23,62335.7,1.02,11183.6,0.24,1.11
"53",53,"0.2","0.6","0.9","20","1","0",130610,949.83,22820.7,0.73,14430.5,0.24,1.41
"54",54,"0.3","0.6","0.9","20","1","0",78192.6,1686.12,11566.1,0.47,17656.5,0.32,2.16
"55",55,"0.1","0.2","0.6","0.05","1.01","0",375750,608.94,126612,2.14,8988.42,0.22,0.68
"56",56,"0.2","0.2","0.6","0.05","1.01","0",171414,1246.57,53418.7,1.1,11484.7,0.3,1.01
"57",57,"0.3","0.2","0.6","0.05","1.01","0",305670,6591.36,90298.4,0.14,40430.8,0.82,2.85
"58",58,"0.1","0.6","0.6","0.05","1.01","0",372370,603.46,125398,2.42,8833.55,0.2,0.65
"59",59,"0.2","0.6","0.6","0.05","1.01","0",176097,1280.63,54869.1,1.64,11753.4,0.21,0.74
"60",60,"0.3","0.6","0.6","0.05","1.01","0",296592,6395.62,87623.8,0.18,39182.7,0.68,2.42
"61",61,"0.1","0.2","0.75","0.05","1.01","0",324993,526.68,91797.7,1.93,9894.06,0.18,0.68
"62",62,"0.2","0.2","0.75","0.05","1.01","0",152552,1109.4,38144.4,0.73,13089.4,0.35,1.43
"63",63,"0.3","0.2","0.75","0.05","1.01","0",306247,6603.81,70286.1,0.1,52794.4,0.84,3.75
"64",64,"0.1","0.6","0.75","0.05","1.01","0",320235,518.97,90310.5,2.44,9662.59,0.16,0.61
"65",65,"0.2","0.6","0.75","0.05","1.01","0",154575,1124.11,38639,1.11,13231.2,0.24,1.02
"66",66,"0.3","0.6","0.75","0.05","1.01","0",301956,6511.28,69307.5,0.12,51988.1,0.71,3.24
"67",67,"0.1","0.2","0.9","0.05","1.01","0",288718,467.89,62182,1.55,10762.7,0.16,0.79
"68",68,"0.2","0.2","0.9","0.05","1.01","0",140701,1023.22,24287.6,0.46,15030.2,0.39,2.29
"69",69,"0.3","0.2","0.9","0.05","1.01","0",305889,6596.09,45077.2,0.06,67654,0.85,5.91
"70",70,"0.1","0.6","0.9","0.05","1.01","0",281710,456.54,60419.4,2.32,10430.2,0.12,0.63
"71",71,"0.2","0.6","0.9","0.05","1.01","0",141882,1031.8,24477.2,0.69,15132.9,0.27,1.65
"72",72,"0.3","0.6","0.9","0.05","1.01","0",304518,6566.52,44878.3,0.08,67261.6,0.73,5.16
"73",73,"0.1","0.2","0.6","1","1.01","0",383956,622.24,129418,1.87,9232.9,0.24,0.73
"74",74,"0.2","0.2","0.6","1","1.01","0",164387,1195.47,51241.1,1.37,11125.9,0.24,0.79
"75",75,"0.3","0.2","0.6","1","1.01","0",95384.7,2056.84,28169.3,0.87,12843.5,0.33,1.17
"76",76,"0.1","0.6","0.6","1","1.01","0",394386,639.14,132879,1.98,9429.13,0.23,0.7
"77",77,"0.2","0.6","0.6","1","1.01","0",183544,1334.78,57204.9,1.4,12350.3,0.22,0.76
"78",78,"0.3","0.6","0.6","1","1.01","0",121250,2614.61,35820,0.69,16210.5,0.36,1.28
"79",79,"0.1","0.2","0.75","1","1.01","0",332651,539.09,94010.2,1.63,10159.4,0.21,0.76
"80",80,"0.2","0.2","0.75","1","1.01","0",138417,1006.6,34663.8,1.08,12072,0.23,0.97
"81",81,"0.3","0.2","0.75","1","1.01","0",89150.2,1922.41,20478.8,0.54,15633.6,0.41,1.83
"82",82,"0.1","0.6","0.75","1","1.01","0",342293,554.72,96643.5,1.73,10376.4,0.2,0.74
"83",83,"0.2","0.6","0.75","1","1.01","0",154382,1122.71,38637.6,1.1,13371.2,0.22,0.93
"84",84,"0.3","0.6","0.75","1","1.01","0",100303,2162.9,23037.9,0.57,17572.7,0.35,1.6
"85",85,"0.1","0.2","0.9","1","1.01","0",294340,477,63458.1,1.32,10999.5,0.18,0.88
"86",86,"0.2","0.2","0.9","1","1.01","0",123331,896.9,21408.1,0.72,13397.3,0.25,1.5
"87",87,"0.3","0.2","0.9","1","1.01","0",110873,2390.83,16398.1,0.23,24725.2,0.56,3.88
"88",88,"0.1","0.6","0.9","1","1.01","0",303272,491.48,65215.3,1.42,11237.4,0.17,0.86
"89",89,"0.2","0.6","0.9","1","1.01","0",135428,984.87,23486.9,0.78,14665,0.22,1.35
"90",90,"0.3","0.6","0.9","1","1.01","0",119914,2585.78,17734.7,0.25,26735.1,0.47,3.3
"91",91,"0.1","0.2","0.6","20","1.01","0",362221,587.01,122228,2.12,9219.51,0.2,0.62
"92",92,"0.2","0.2","0.6","20","1.01","0",159360,1158.91,49724.4,1.86,11121.1,0.16,0.55
"93",93,"0.3","0.2","0.6","20","1.01","0",89388.7,1927.55,26379.8,1.46,12092.7,0.18,0.62
"94",94,"0.1","0.6","0.6","20","1.01","0",373592,605.44,125996,2.15,9393.4,0.2,0.62
"95",95,"0.2","0.6","0.6","20","1.01","0",171720,1248.8,53579.9,1.88,11935.6,0.16,0.56
"96",96,"0.3","0.6","0.6","20","1.01","0",101292,2184.22,29891.8,1.35,13721.9,0.18,0.64
"97",97,"0.1","0.2","0.75","20","1.01","0",314247,509.27,88965,1.79,10155,0.18,0.67
"98",98,"0.2","0.2","0.75","20","1.01","0",131877,959.05,33108.9,1.53,11832.4,0.15,0.62
"99",99,"0.3","0.2","0.75","20","1.01","0",70640.9,1523.28,16165,1.21,12640.9,0.16,0.72
"100",100,"0.1","0.6","0.75","20","1.01","0",310782,503.65,87967.8,1.89,10073.2,0.18,0.65
"101",101,"0.2","0.6","0.75","20","1.01","0",145550,1058.48,36527.1,1.49,12994.6,0.15,0.65
"102",102,"0.3","0.6","0.75","20","1.01","0",81452.3,1756.41,18693.7,1.06,14440,0.18,0.79
"103",103,"0.1","0.2","0.9","20","1.01","0",274520,444.88,59497,1.48,10886.2,0.16,0.76
"104",104,"0.2","0.2","0.9","20","1.01","0",111210,808.75,19476.7,1.16,12468,0.14,0.83
